,artist,num_songs_on_billboard,num_albums
235,Noah Kahan,2,6
236,Tory Lanez,3,13
237,Xavi,1,2
238,Mae Muller,1,1
239,Justin Timberlake,8,9
240,Rita Ora,1,3
241,Flipp Dinero,1,2
242,Desiigner,2,3
243,Paul Russell,1,2
244,NEIKED,1,0
245,Juice WRLD,7,8
246,Jess Glynne,1,3
247,Yeat,1,11
248,Nick Jonas,3,4
249,French Montana,1,40
250,Bazzi,2,3
251,Nicky Jam x J Balvin,1,7
252,Lil Nas,3,2
253,Diane Guerrero,1,1
254,Megan Thee Stallion,11,11
255,2 Chainz,4,21
256,Normani,3,1
257,Melle Mel,1,3
258,Ed Sheeran,17,18
259,Jeezy,1,39
260,Majid Jordan,2,5
261,Michael Jackson,1,17
262,Parmalee,1,5
263,MAGIC!,1,4
264,Kane Brown,12,5
265,Stephen Sanchez,1,3
266,ATR Son Son,1,0
267,Ariana Grande Feat. Doja Cat,1,7
268,R. Kelly,1,16
269,Daniel Caesar,1,5
270,Warren Zeiders,1,6
271,Logic,3,15
272,Giveon,2,3
273,Jordan Davis,3,3
274,Baauer,1,3
275,Chris Stapleton,4,5
276,Flo Milli,1,4
277,Grandmaster Caz,1,3
278,Selena Gomez,11,4
279,fun.,2,3
280,Trey Songz,2,16
281,Trevor Daniel,1,2
282,Ty Dolla $ign,5,10
283,BENEE,1,2
284,Descemer Bueno,1,5
285,Britney Spears,1,9
286,Lainey Wilson,5,4
287,Tyga,3,19
288,Aqua,1,2
289,Sean Paul,2,10
290,Nico,1,1
291,Kali Uchis,1,7
292,Bastille,3,15
293,E-40,1,52
294,Social House,1,0
295,Diplo,2,17
296,Silk Sonic (Bruno Mars,2,1
297,AlunaGeorge,1,4
298,O.T. Genasis,2,1
299,YoungBoy Never Broke Again,2,37
300,Kaliii,1,3
301,Tyler Hubbard,2,2
302,Oliver Anthony Music,1,1
303,P!nk,6,12
304,Young Thug,11,26
305,Sage The Gemini,1,2
306,KYLE,1,9
307,Encanto Cast,1,21
308,Steve Lacy,2,3
309,G-Eazy x Bebe Rexha,1,3
310,Cheat Codes,1,5
311,Wizkid,2,7
312,Adam Levine,1,0
313,Charli XCX,2,11
314,Metro Boomin,5,16
315,The Script,1,7
316,Kyla,1,0
317,Idina Menzel,1,8
318,Rocko,1,14
319,D.R.A.M.,2,0
320,Nicky Jam,2,7
321,Icona Pop,1,5
322,YNW Melly,2,5
323,Elton John,1,48
324,Ella Mai,3,3
325,Tones And I,1,3
326,Ke$ha,2,6
327,Scotty McCreery,1,8
328,Florence Welch,1,0
329,Bailey Zimmerman,5,1
330,SAINt JHN,1,3
331,BTS,3,21
332,CKay,1,5
333,Becky G,2,4
334,Pop Smoke,6,8
335,iann dior,2,5
336,John Martin,1,0
337,Dierks Bentley,1,12
338,Snoop Dogg,1,37
339,Mike Posner,1,11
340,Nio Garcia,1,2
341,Rixton,1,1
342,Katelyn Brown,1,0
343,The Lumineers,1,8
344,Nate Ruess,1,1
345,Mikky Ekko,1,2
346,Mauro Castillo,1,4
347,Chris Young,1,10
348,Lauren Daigle,1,9
349,Kesha,1,6
350,Eric Nally,1,0
351,Grupo Frontera,2,2
352,Tyla,1,1
353,G-Eazy,2,12
354,Lil Tecca,1,7
355,Parmalee x Blanco Brown,1,5
356,Foxes,1,4
357,Coldplay,4,17
358,Lil Wayne,8,31
359,Lauren Alaina,1,5
360,Maroon 5,16,14
361,Mustard,3,4
362,Paramore,2,9
363,Kid Ink,2,12
364,Internet Money,1,3
365,Benson Boone,2,1
366,Rema,1,3
367,Darius Rucker,1,9
368,Jon Pardi,1,7
369,JAY Z,1,23
370,Future,18,29
371,Echosmith,1,4
372,Cris Mj,1,2
373,Nicky Youre,1,1
374,Snow,1,3
375,Elle King,2,3
376,Flo Rida,4,6
377,Bobby Shmurda,1,2
378,Ne-Yo,3,12
379,Bipolar Sunshine,1,2
380,Fuerza Regida,1,13
381,Vinz,1,1
382,One Direction,5,5
383,Rich The Kid,2,8
384,gnash,2,5
385,benny blanco,3,2
386,Zedd,7,4
387,Toosii,1,10
388,Kendrick Lamar,14,11
389,SHAED,2,3
390,Friends,1,0
391,Rhenzy Feliz,1,0
392,Dan,6,5
393,Roddy Ricch,7,4
394,Macklemore,5,6
395,Halsey,9,9
396,The Kid LAROI,3,3
397,Billy Ray Cyrus,1,16
398,DJ Khaled,6,13
399,MAX,1,5
400,Ozuna,2,9
401,Juicy J,5,28
402,James Bay,1,6
403,T.I.,3,17
404,Offset,4,3
405,Tim McGraw,2,24
406,Rich Homie Quan,3,19
407,Lookas,1,0
408,Childish Gambino,2,7
409,Charli xcx,1,11
410,Luis Fonsi,1,20
411,Casper Magico,1,1
412,Kim Petras,2,7
413,Harry Styles,6,3
414,¥$: Ye,1,16
415,Maren Morris,4,4
416,Mark Ronson,1,8
417,Phillip Phillips,2,5
418,Zayion McCall,1,2
419,Miley Cyrus,8,11
420,Ruth B,1,3
421,Adassa,1,5
422,Olivia O'Brien,1,1
423,Thomas Rhett,5,13
424,Olivia Rodrigo,7,4
425,Usher,4,15
426,Little Big Town,1,11
427,Jung Kook,1,2
428,Blanco Brown,1,1
429,Tinashe,1,9
430,BlocBoy JB,1,6
431,Dua Lipa,13,9
432,Zay Hilfigerrr,1,0
433,Bradley Cooper,1,3
434,Niko Moon,1,2
435,Alessia Cara,6,6
436,Em Beihold,1,1
437,Carrie Underwood,3,12
438,Cody Johnson,2,11
439,Tommy Richman,1,2
440,Kai,1,0
441,American Authors,1,5
442,Lil Yachty,3,11
443,Morgan Wallen,21,5
444,Jay Rock,1,5
445,Miguel,5,8
446,Kanye West,1,16
447,Quavo,5,4
448,iLoveMemphis,1,3
449,Daya,3,1
450,NAV,1,10
451,Hailee Steinfeld,2,0
452,FloyyMenor,1,1
453,ScHoolboy Q,3,6
454,Rich Gang,1,3
455,Alicia Keys,1,25
456,Bizarrap,1,0
457,Anna Kendrick,1,1
458,Sexyy Red,2,4
459,Summer Walker,1,7
460,Jidenna,1,4
461,Monty,1,2
462,Disciples,1,0
463,DNCE,1,2
